node,deg,deg_norm,betweenness,eigenvector,pagerank,cluster
androgenetic,29,0.004191357,6.87E-07,0.004742006,7.01E-05,7
androgenic,213,0.030784795,7.28E-05,0.016961976,0.000226163,7
androgens,65,0.009394421,8.24E-06,0.008050723,0.000128688,7
androl,20,0.002890591,3.17E-06,0.001806089,9.29E-05,5
andrology,130,0.018788842,0.000117883,0.01296732,0.000210013,5
andropause,409,0.059112589,0.000347599,0.022637543,0.000390686,6
androstenedione,31,0.004480416,5.22E-07,0.004575826,7.15E-05,7
anecdotal,20,0.002890591,6.66E-08,0.004218515,5.63E-05,2
anecdotally,38,0.005492123,4.99E-07,0.006592195,7.79E-05,0
anemia,389,0.056221997,0.00027921,0.021673591,0.000356771,6
anesthetic,16,0.002312473,1.62E-08,0.003241398,5.23E-05,6
anesthetize,19,0.002746062,7.52E-08,0.003822,5.99E-05,2
aneurysm,13,0.001878884,5.60E-09,0.002489305,5.01E-05,6
angelini,19,0.002746062,4.03E-07,0.002248142,8.65E-05,5
anger,34,0.004914005,5.46E-07,0.005182472,7.41E-05,6
angina,16,0.002312473,4.01E-08,0.002987836,5.56E-05,7
angiography,33,0.004769475,9.29E-07,0.00536051,8.24E-05,4
angle,19,0.002746062,3.97E-07,0.003517302,6.27E-05,2
angry,33,0.004769475,1.10E-06,0.005328961,8.05E-05,7
animal,20,0.002890591,5.42E-07,0.003142091,7.24E-05,6
ankle,63,0.009105362,5.22E-06,0.007382671,0.000111474,7
annal,32,0.004624946,3.24E-06,0.004386707,7.84E-05,5
announce,35,0.005058534,9.69E-07,0.00581699,8.34E-05,4
announcement,19,0.002746062,2.21E-08,0.003902637,5.26E-05,4
announcer,105,0.015175603,1.75E-05,0.011302426,0.000151051,0
annual,144,0.020812256,6.15E-05,0.014875482,0.000219127,4
annually,55,0.007949126,4.86E-05,0.006358771,0.000133818,3
anomaly,18,0.002601532,3.47E-07,0.002663262,6.71E-05,9
anonymity,18,0.002601532,7.54E-08,0.003605632,5.54E-05,0
anorchia,44,0.0063593,7.93E-06,0.004812134,0.000116042,7
anorexia,48,0.006937419,7.99E-06,0.006085292,0.000113494,7
anosmia,17,0.002457002,1.20E-07,0.002948078,5.61E-05,7
anschutz,19,0.002746062,4.66E-07,0.002960116,7.09E-05,9
answer,499,0.072120249,0.000382033,0.027524431,0.000408573,0
antagonist,19,0.002746062,1.66E-07,0.002945307,5.83E-05,7
anterior,37,0.005347594,1.54E-06,0.004529508,8.32E-05,7
anti,198,0.028616852,0.000128113,0.016739605,0.000279989,6
antibiotic,18,0.002601532,4.07E-08,0.003299706,5.76E-05,7
anticipate,34,0.004914005,4.68E-07,0.005469475,7.61E-05,2
anticonvulsant,35,0.005058534,5.11E-07,0.005322211,8.23E-05,7
antidepressant,124,0.017921665,1.55E-05,0.013494974,0.000166694,7
antifungal,31,0.004480416,9.40E-07,0.00485256,7.44E-05,7
antigen,218,0.031507443,6.94E-05,0.015601708,0.000226956,7
antioxidant,57,0.008238185,5.25E-06,0.006515341,0.000126242,10
antonio,20,0.002890591,1.91E-06,0.002328539,8.80E-05,5
anxiety,553,0.079924845,0.000612091,0.028018849,0.000476286,6
anxious,36,0.005203064,2.82E-06,0.005048473,9.10E-05,6
anybody,124,0.017921665,1.98E-05,0.014595606,0.000175657,0
anymore,103,0.014886544,1.62E-05,0.012093984,0.000151082,0
anything-,19,0.002746062,2.19E-08,0.0036085,4.97E-05,6
aorta,16,0.002312473,1.36E-07,0.002717983,5.75E-05,7
aortic,14,0.002023414,4.40E-08,0.002555211,5.29E-05,6
apart,123,0.017777135,2.46E-05,0.013775305,0.000185835,2
apart.432,20,0.002890591,1.78E-06,0.003671339,6.07E-05,2
apathy,18,0.002601532,3.85E-08,0.00307656,5.23E-05,6
aphrodisiac,14,0.002023414,1.79E-09,0.002372178,4.81E-05,10
apigenin,19,0.002746062,1.18E-07,0.002705449,6.14E-05,10
aplastic,15,0.002167943,6.48E-08,0.002704112,5.22E-05,7
apnea,488,0.070530423,0.00041851,0.02538187,0.000398705,7
apnoea,50,0.007226478,2.24E-06,0.007165465,9.53E-05,7
