node,x,y,is_AMS
attitude,0.05440162144393699,0.035110315523045124,0
attributable,0.33181921278379445,-0.17885188750960915,0
attribute,-0.22459912201615131,-0.04095282619519259,0
aua,0.05895298978055317,0.15268281907729395,0
auaer,0.13105038184047707,0.12101095012061555,0
auchus,-0.1103474801929863,0.47638092252684594,0
aud,-0.39394303115239704,-0.0028215005180657307,0
audible,0.020494849886334512,-0.17868486407453207,0
audience,0.3456335983130381,0.06623475139613774,0
audio,0.1264412980639659,0.08181918999248004,0
august,0.033493367995060024,0.41278353202785467,0
aurora,0.10804452631969227,0.3886088704914106,0
australia,0.11004972573896198,0.12306511883091115,0
authentic,0.3510633438202975,-0.05482515830978419,0
authentically,0.22749688364134518,-0.08158282649862296,0
author,-0.008841109442705762,0.27723075600647734,0
authorship,-0.027565953303350044,0.1371101970511881,0
autoimmune,-0.4439050670575976,-0.006325834818311261,0
automated,-0.1615212814025479,-0.23596318384313766,0
automatic,-0.18865761851037444,0.07858202281009506,0
automatically,-0.07220824082036438,0.05335381036862767,0
autonomy,-0.13253316759814415,-0.24908475353831014,0
