node,deg,deg_norm,betweenness,eigenvector,pagerank,community
convenience,58,0.008382714265067205,4.6613777448577754e-05,0.010947631613769786,0.00017426503191103905,1
convenient,152,0.02196849255672785,0.00023030094073445668,0.02060349399898793,0.00031444098361329246,3
conveniently,9,0.0013007660066483597,2.6384352315643714e-08,0.003053716574426386,5.078994345876289e-05,3
conventional,10,0.0014452955629426219,2.355005593325004e-08,0.002532446107210236,5.57582301261351e-05,6
conversation,225,0.03251915016620899,0.00022194584238170422,0.02750424404087321,0.00037322213455873285,0
conversely,48,0.006937418702124584,2.626545088197675e-05,0.008766491977816605,0.0001436314342528886,6
conversion,45,0.006503830033241798,2.123542212671643e-06,0.010013577787755896,0.00011629336227171624,6
convert,144,0.020812256106373755,7.697953455470903e-05,0.018259230649285106,0.00026935713844510045,6
converter,8,0.0011562364503540975,1.4926553282840206e-09,0.0020738761793268486,4.608306777336577e-05,6
converting,9,0.0013007660066483597,3.498268144775317e-08,0.0025869902750577504,5.108467648339541e-05,6
convincing,9,0.0013007660066483597,8.497071396433051e-09,0.003097786357419738,4.979692106907292e-05,0
con’t,10,0.0014452955629426219,3.437558494554745e-07,0.0018938406507746023,6.450402580799598e-05,2
cook,8,0.0011562364503540975,0.0,0.002055323696849351,5.29111090074816e-05,9
cookie,38,0.005492123139181963,1.5309697444730226e-05,0.008386812924041365,0.00011797410625479952,3
coolidge,19,0.0027460615695909813,1.3259801520370557e-05,0.002821402513388601,0.00012221478787778685,11
cooney,9,0.0013007660066483597,1.0343958551374109e-06,0.0017555228402040485,6.043992284199054e-05,11
coordinate,7,0.0010117068940598353,5.074176328970007e-07,0.0007521958267748797,6.961226475927415e-05,11
coordinator,27,0.003902298019945079,4.3536222436400185e-06,0.0064857017434408505,9.292954433262682e-05,3
copay,9,0.0013007660066483597,3.8067620956013846e-08,0.002890104817867629,4.828445555148564e-05,0
copd,28,0.004046827576239341,8.397454574123353e-06,0.0054396675975957,9.598315117566162e-05,7
cope,36,0.005203064026593439,6.636268344443433e-06,0.008418272468175439,0.00010965369153015309,0
copper,10,0.0014452955629426219,2.513534904122256e-07,0.001953175878645865,6.543234023346268e-05,9
copulate,10,0.0014452955629426219,5.065488992066844e-07,0.002459150820567993,6.585703935047816e-05,5
copy,48,0.006937418702124584,4.3080103883621466e-05,0.007938375376294928,0.0001621749864796418,7
copyright,24,0.003468709351062292,2.0195221581839596e-05,0.0041304862702664915,0.00011431194106222867,11
coralville,10,0.0014452955629426219,6.333803405217346e-07,0.00241602072362755,6.662871594790929e-05,3
core,60,0.00867177337765573,3.0259986446114635e-05,0.012011743678391508,0.0001521466863497828,0
cornerstone,10,0.0014452955629426219,1.2402921468055877e-07,0.002524725075468169,6.269794752215462e-05,0
corona,67,0.009683480271715566,0.0002378407968466597,0.007831095621846418,0.00026807862353437354,11
coronary,55,0.00794912559618442,1.2806468508187384e-05,0.010304601041151891,0.00013833507992415042,7
corporation,10,0.0014452955629426219,5.938624515584816e-06,0.0014094043130324899,7.868257834518496e-05,11
correct,187,0.02702702702702703,0.00019143258880542676,0.022949770251747527,0.00029493763334757935,0
correction,10,0.0014452955629426219,7.907153660197544e-08,0.002833093463750001,5.2767313425654576e-05,2
correctly,50,0.007226477814713109,4.8056701618647165e-06,0.010507000362659348,0.00013086299411404318,0
correlate,41,0.005925711808064749,1.766892628651299e-05,0.007581427545355263,0.00012530408654463343,5
correlation,56,0.008093655152478682,2.055924592475737e-05,0.009713895845645472,0.000142749499561248,5
correspond,28,0.004046827576239341,4.432076572526842e-06,0.006390664241700356,8.677330157153314e-05,6
cortex,28,0.004046827576239341,3.53457553087294e-05,0.004722052664126283,0.00012791392897792712,6
corticosteroid,20,0.0028905911258852437,1.237130692746548e-06,0.005371574901573124,7.335651167796686e-05,7
corticotropin,7,0.0010117068940598353,1.4767265383284147e-08,0.001114784085578392,5.297295550997002e-05,6
cortisol,145,0.020956785662668016,8.473672750847387e-05,0.01798955221931894,0.0002525354432456901,6
cosmetic,17,0.002457002457002457,3.7078849224998624e-06,0.0037549319701583547,8.47251394948673e-05,5
cost,195,0.028183263477381124,0.00024019778503096766,0.024483074348043248,0.0003470310900238909,0
costly,45,0.006503830033241798,6.203091126838724e-06,0.010223868687994589,0.00012418585005224872,3
cotton,24,0.003468709351062292,1.1327440029692103e-05,0.0049596783784601325,9.350270678726626e-05,1
cough,9,0.0013007660066483597,8.109042849968285e-07,0.0027732129640962054,5.4344131752873375e-05,3
coughing,20,0.0028905911258852437,1.1691409208714395e-06,0.005300409259277984,8.264270077324789e-05,1
counsel,93,0.013441248735366382,3.510142735317856e-05,0.015682732856172218,0.00019165195886191143,3
counseling,86,0.012429541841306548,0.00012975523164877976,0.014064434615418106,0.00018950502214961436,7
counselling,9,0.0013007660066483597,3.844081556836122e-08,0.002526820320138488,5.11330396538694e-05,7
counselor,20,0.0028905911258852437,8.560340992641614e-07,0.005175303493259753,7.920650095854277e-05,3
count,314,0.04538228067639832,0.0007934549992822485,0.023732080941223102,0.0004074402551031735,7
counter,133,0.01922243098713687,0.00018592015719341902,0.018505771161730432,0.0002701995912147402,0
counteract,25,0.0036132389073565544,1.596318281267273e-06,0.005606550845252737,8.087237335686605e-05,6
counterintuitive,10,0.0014452955629426219,3.091019420824883e-08,0.0028956113009512797,5.574944101749403e-05,6
counterpart,9,0.0013007660066483597,2.0824672946941077e-08,0.003059397684521849,4.796691255148832e-05,1
counterproductive,10,0.0014452955629426219,6.847821687532716e-08,0.002880890424584854,5.269821722237057e-05,7
countless,17,0.002457002457002457,1.1097734874444126e-06,0.0046889483483122,5.7732250093264954e-05,3
country,77,0.011128775834658187,0.00012206192683890658,0.013139210072854336,0.0001946699465429585,0
county,21,0.0030351206821795057,2.9776783184680943e-06,0.004503670258018582,8.698852999424723e-05,3
couple,160,0.02312472900708195,0.0003221763281760653,0.021560973972833866,0.0003170207281298774,0
course,164,0.023702847232258996,0.0003339241188770577,0.021093247822925123,0.0002973732353359854,0
courtesy,31,0.0044804162451221275,7.347498067597537e-05,0.005063704632832286,0.00013532440156423044,2
cover,198,0.028616852146263912,0.0002648789161111744,0.024190593844148536,0.0003568465743240538,0
coverage,18,0.0026015320132967193,3.3205726853607987e-06,0.004927509783142327,7.347538761227408e-05,0
covid,20,0.0028905911258852437,6.4716181731280356e-06,0.004203308358249938,9.305706159098215e-05,7
covid-19,114,0.016476369417545888,0.00017700497625905895,0.014747794426744077,0.0002777899535357169,11
covington,10,0.0014452955629426219,2.051550694362e-06,0.0002850076416494476,0.00011607400358881346,12
cow,18,0.0026015320132967193,2.5730693636260725e-06,0.004873752132014375,7.916808377676763e-05,0
coward,10,0.0014452955629426219,8.620981597615423e-07,0.0007758401498442325,9.982323425643959e-05,11
cpap,28,0.004046827576239341,1.4063671623743803e-05,0.005444302409981454,0.0001015773289266704,7
cpt,13,0.0018788842318254082,1.2013801002010141e-06,0.002995896637175663,7.322316318623914e-05,3
cqc,39,0.005636652695476225,1.3816888491482521e-05,0.007649304142846937,0.00013513841466899533,3
crack,10,0.0014452955629426219,1.4160051618581183e-07,0.0026352922754299527,5.105056472320023e-05,0
craft,20,0.0028905911258852437,4.097963946413071e-07,0.005945882136199048,7.019908225298646e-05,3
craniofacial,10,0.0014452955629426219,1.86802691090551e-07,0.0023727092450818808,6.182361653170124e-05,7
craniopharyngioma,10,0.0014452955629426219,9.148694208244968e-08,0.002547724485833588,5.727414342342179e-05,7
crank,10,0.0014452955629426219,2.362567591623951e-07,0.0020046184731123905,6.639503966197511e-05,6
crash,45,0.006503830033241798,1.9017118386221576e-05,0.009161338200582464,0.00015226838014972425,0
crazy,19,0.0027460615695909813,3.1787807614144104e-06,0.005265528745899573,7.690753221312253e-05,0
cream,296,0.0427807486631016,0.0007031575428995851,0.028535937074973053,0.0004729773149167733,1
creams,10,0.0014452955629426219,2.776933384461595e-09,0.003235618065703085,4.414679724427201e-05,1
